Date,Open,High,Low,Close,Volume
2005-12-12,435.0,435.0,435.0,435.0,0
2005-12-13,435.0,435.0,435.0,435.0,0
2005-12-14,435.0,435.0,435.0,435.0,0
2005-12-15,435.0,435.0,435.0,435.0,0
2005-12-16,435.0,435.0,435.0,435.0,0
2005-12-19,435.0,435.0,435.0,435.0,0
2005-12-20,435.0,435.0,435.0,435.0,0
2005-12-21,435.0,435.0,435.0,435.0,0
2005-12-22,435.0,435.0,435.0,435.0,0
2005-12-23,435.0,435.0,435.0,435.0,0
2005-12-26,435.0,435.0,435.0,435.0,0
2005-12-27,435.0,435.0,435.0,435.0,0
2005-12-28,435.0,435.0,430.0,430.0,0
2005-12-29,430.0,430.0,430.0,430.0,0
2005-12-30,430.0,430.0,430.0,430.0,0
2006-01-02,430.0,430.0,425.0,425.0,0
2006-01-03,425.0,443.0,425.0,435.0,0
2006-01-04,435.0,435.0,435.0,435.0,0
2006-01-05,435.0,435.0,435.0,435.0,0
2006-01-06,435.0,435.0,435.0,435.0,0
2006-01-09,435.0,435.0,425.0,425.0,0
2006-01-10,425.0,425.0,425.0,425.0,0
2006-01-11,425.0,425.0,425.0,425.0,0
2006-01-12,425.0,425.0,425.0,425.0,0
2006-01-13,425.0,425.0,425.0,425.0,0
2006-01-16,425.0,425.0,425.0,425.0,0
2006-01-17,425.0,425.0,425.0,425.0,0
2006-01-18,425.0,427.0,425.0,427.0,0
2006-01-19,427.0,427.0,427.0,427.0,0
2006-01-20,427.0,427.0,427.0,427.0,0
2006-01-23,427.0,427.0,427.0,427.0,0
2006-01-24,427.0,427.0,427.0,427.0,0
2006-01-25,427.0,427.0,427.0,427.0,0
2006-01-26,427.0,427.0,427.0,427.0,0
2006-01-27,427.0,427.0,427.0,427.0,0
2006-01-30,427.0,427.0,425.0,425.0,0
2006-01-31,425.0,425.0,425.0,425.0,0
2006-02-01,425.0,425.0,425.0,425.0,0
2006-02-02,425.0,425.0,425.0,425.0,0
2006-02-03,425.0,428.0,425.0,428.0,0
2006-02-06,428.0,428.0,428.0,428.0,0
2006-02-07,428.0,432.0,425.0,432.0,0
2006-02-08,432.0,432.0,432.0,432.0,0
2006-02-09,432.0,432.0,428.0,428.0,0
